arg,tittle,genres,argumento
141718,Deathgasm (2015),Comedia | horror,Dos adolescentes involuntariamente convocan a una antigua entidad malvada conocida como la ciega al profundizar en la magia negra mientras intenta escapar de sus vidas mundanas.
141749,La chica danesa (2015),Drama,Una historia de amor ficticia inspirada libremente por las vidas de los artistas daneses Lili Elbe y Gerda Wegener. El matrimonio y el trabajo de Lili y Gerda evolucionan a medida que navegan por el innovador viaje de Lili como un pionero transgénero.
141799,Cooties (2015),Comedia | horror,"Un misterioso virus golpea a una escuela primaria aislada, transformando a los niños en un enjambre feral de salvajes en masa. Un héroe improbable debe llevar a una banda motley de maestros en la lucha de sus vidas."
141810,Maratón de otoño (1979),Comedia | drama,La maestra de la escuela está engañando a su esposa y se encuentra al respecto.
141816,12 sillas (1976),Aventura | comedia,"Dos sinvergüenzas intentan encontrar las doce sillas, en una de las cuales sus tías han cosido joyas."
141818,Milagro ordinario (1978),Comedia | drama | fantasía | romance,"Un asistente inventa a los personajes que todos cobran vida y comienzan a llegar a su casa: un rey, sus sirvientes, príncipes, un oso atrapado en el cuerpo de un hombre, el lote habitual. La trama gira principalmente ..."
141820,Hombres viejos: ladrones (1971),Comedia,"Un viejo detective piensa que es demasiado joven para retirarse. Con la ayuda de sus amigos, planea cometer 'el crimen del siglo' y luego resolverlo rápidamente. Pero ser un criminal es mucho más difícil que ser un policía."
141830,Aventuras increíbles de italianos en Rusia (1974),Aventura | comedia,"Las locas aventuras de los italianos locos, buscando los tesoros locos en la Rusia MAD."
141836,¡No puede ser! (1975),Comedia,"Tres historias sobre un matrimonio, su traición, su aburrimiento, es absurdo."
141844,12 sillas (1971),Aventura | comedia,Dos caballeros de la fortuna de los tiempos de la Rusia Imperial están buscando un tesoro incontable al amanecer de la Edad de la Unión Soviética.
141846,Steve Jobs: El hombre en la máquina (2015),Documental,"Una mirada a la vida personal y privada del CEO de Apple tardío, Steve Jobs."
141866,Habitación Verde (2015),(sin géneros enumerados),Una banda de punk rock se ve obligada a luchar por la supervivencia después de presenciar un asesinato en una barra de cabeza neonazi.
141890,Bestias de ninguna nación (2015),Drama | guerra,"Un drama basado en las experiencias de AGU, un niño soldado que lucha en la Guerra Civil de un país africano sin nombre."
141928,Bastardos de Bloodsucking (2015),Comedia | horror,"A Down en su suerte, trabajadora de cubículos y su mejor amiga descubren que su nuevo jefe es un vampiro que está convirtiendo a sus compañeros de trabajo en los muertos."
141994,Ahorro de Navidad (2014),Niños | Comedia,"Su fiesta navideña anual vacilante gracias a su cuñado cínico, la ex estrella de dolores en crecimiento, Kirk Cameron, intenta salvar el día mostrándole que Jesucristo sigue siendo un componente crucial de las vacaciones de vacaciones over-comercializadas."
142020,Oscar (1967),Comedia,"El hombre de negocios neurótico debe encontrar al hombre adecuado para su hija embarazada. De hecho, es poco complicado."
142056,Iron Man & Hulk: Heroes United (2013),Acción | Aventura | Animación,El hombre invencible del hierro y el increíble Hulk deben unirse a las fuerzas para salvar a la Tierra de su mayor amenaza aún.
142074,Golpe de golpe (2015),Crimen | horror | Thriller,"Un padre devoto ayuda a dos mujeres jóvenes trenzadas que llaman a su puerta, pero su gesto amable se convierte en una seducción peligrosa y un juego mortal de gato y ratón."
142115,El planeta azul (2001),Documental,"Serie Mammoth, cinco años en la fabricación, echando un vistazo al rico tapiz de la vida en los océanos del mundo."
142196,¡Arrinconado! (2009),Comedia | horror,"Durante su juego de póquer nocturno, un grupo de LOWLIFES se terroriza en su propia tienda de conveniencia por un asesino enmascarado."
142222,Demolición (2016),Drama,"Un exitoso banquero de inversión lucha después de perder a su esposa en un accidente de automóvil trágico. Con la ayuda de un representante de servicio al cliente y su hijo pequeño, comienza a reconstruir, comenzando con la demolición de la vida que una vez supo."
142366,Quemaduras de cigarrillos (2005),Horror | Suspenso,"Con un pasado tórrido que lo persigue, se contrata un propietario de un cine con el que se contrata para buscar la única impresa existente de una película, por lo que es notorio que su selección única hizo que los espectadores se vuelvan de manera holigólica."
142372,Nuestra marca es crisis (2015),Comedia | drama,"Se envía un consultor político estadounidense endurecido por la batalla para ayudar a reelegir a un presidente controvertido en Bolivia, donde debe competir con un rival a largo plazo que trabaja para otro candidato."
142420,Alta subida (2015),Acción | drama | ciencia ficción,La vida para los residentes de un bloque de torre comienza a quedarse sin control.
142422,La noche anterior (2015),Comedia,"En la víspera de Navidad, tres amigos de toda la vida pasan la noche en la ciudad de Nueva York en busca del Santo Grial de las Fiestas de Navidad."
142424,En el bosque (2015),Drama | ciencia ficción,"Después de un corte de energía masiva, dos hermanas aprenden a sobrevivir por su cuenta en su hogar de bosques aislados."
142444,El editor (2015),Comedia | horror | misterio,Un editor de cine se va envuelto en una cadena de asesinatos.
142448,Everest (2015),Aventura | Drama | Thriller,"La historia de la Robert ""Rob"" de Nueva Zelanda, el EDWin Hall, quien el 10 de mayo de 1996, junto con Scott Fischer, se unió a una expedición conjunta para ascender el Monte Everest."
142456,El Nuevo Testamento (2015),(sin géneros enumerados),¿Sabías que Dios está vivo y vive en Bruselas con su hija?
142488,Spotlight (2015),Novela de suspenso,"La verdadera historia de cómo el Globo de Boston descubrió el enorme escándalo de la abuso de infancia y la encubrimiento dentro de la arquidiócesis católica local, sacudiendo a toda la Iglesia Católica a su núcleo."
142507,Sacrificio de peón (2015),Drama,"Ajuste durante la Guerra Fría, el ajedrez estadounidense Prodigy Bobby Fischer se encuentra atrapado entre dos superpoderes y sus propias luchas, ya que desafía al imperio soviético."
142509,Hardcore Henry (2015),Acción | aventura | ciencia ficción,"Henry se resucita de la muerte sin memoria, y debe salvar a su esposa de un Warlord Telekinetic con un plan para los soldados biológicos."
142536,Quemado (2015),Drama,"Adam Jones (Bradley Cooper) es un chef que destruyó su carrera con drogas y comportamiento de DIVA. Se limpia y regresa a Londres, decidido a canjear a sí mismo de encabezando un restaurante que puede ganar tres estrellas Michelin."
142550,Ryuzo y los Siete Senchmen (2015),Acción | comedia,Ryuzo y los Siete Henchmen (2015) se trata de la historia de Ryuzo y los Siete Senchmen que aman a Derby Race quieren hacer la última batalla con Yakuza.
142558,Si yo fuera un hombre rico (2002),Comedia,"Al borde de un divorcio, Aldo gana la lotería. A punto de decirle a su esposa, descubre que está durmiendo con su nuevo jefe. En lugar de decirle y compartir el dinero, mantiene las noticias ocultas."
142598,Último turno (2014),Horror,El primer cambio de un COP de un novato solo en la última noche de una estación de policía de clausura se convierte en una pesadilla viva.
142602,"F * ck tú, Goethe 2 (2015)",Comedia,El Sr. Mülller y su clase están tomando un viaje escolar a Tailandia para fortalecer la reputación de su escuela.
142831,Garam Masala (2005),Comedia,Un cuento de cosquillas de la costilla de dos coqueteos que coquetean constantemente con las mujeres a pesar de que se comprometen. El caos se produce cuando el novio descubre que su novio es engañarla.
142961,LIFE ETERNAL (2015),Comedia | crimen | thriller,El ex policía Brenner tiene que regresar a su ciudad natal donde se involucra en una historia trágica entre sus viejos amigos.
142997,Hotel Transilvania 2 (2015),Animación | Comedia,"Drácula y sus amigos intentan sacar al monstruo en su mitad humano, medio nieto de vampiros para evitar que Mavis salga del hotel."
143001,Anti-social (2015),Crimen,"Central de Londres, hoy"
143031,¡Saltar! (2007),Comedia | drama | romance,"Es presionado un adolescente por su padre para convertirse en un boxeador, pero una chica local le presenta el deporte muy diferente del salto de la cuerda."
143245,El pequeño príncipe (2015),Animación | Fantasía,"Una niña vive en un mundo muy adulto con su madre, que trata de prepararla para ello. Su vecino, el aviador, le presenta a la niña un mundo extraordinario donde todo es posible, el mundo del pequeño príncipe."
143255,Narcopolis (2014),Misterio | Ciencia FI | Thriller,"En un futuro próximo, Frank Rieves es una nueva raza de oficial de policía que trabaja en una ciudad donde todas las drogas recreativas son legales. Cuando se le quita un caso que involucra un cadáver no identificado, descubre que la legalización ha llegado a un precio."
143257,Ashby (2015),Comedia | drama,"Estudiante de la escuela secundaria Ed Wallis entra en una amistad con su vecino, Ashby, un asesino retirado de la CIA que solo queda unos meses a vivir."
143355,Mujer maravilla (2017),Acción | aventura | fantasía,"Cuando un piloto se estrella y habla de conflicto en el mundo exterior, Diana, un guerrero amazónico en entrenamiento, deja a casa para luchar contra una guerra, descubriendo sus plenos poderes y su verdadero destino."
143365,El círculo (2016),Drama | Sci-Fi | Thriller,"Una mujer aterriza un trabajo de ensueño en una poderosa compañía de tecnología llamada el círculo, solo para descubrir una agenda que afectará las vidas de toda la humanidad."
143367,Silencio (2016),Drama | Suspenso,"En el siglo XVII, dos sacerdotes jesuitas portugueses viajan a Japón en un intento por localizar a su mentor, que se rumorea a haber cometido apostasía y propagar el catolicismo."
143385,Puente de Spies (2015),Drama | Suspenso,"Durante la Guerra Fría, se recluta a un abogado estadounidense para defender a un espía soviético arrestado en la corte, y luego ayudar a la CIA a facilitar un intercambio del espía por el SOVIET CAPTURADO AMERICANO U2 Spy Plane Pilot, Francis Gary Powers."
143410,Carretera de hiena,(sin géneros enumerados),"Tres hombres diferentes, tres mundos diferentes, tres guerras diferentes, todos se paran en la intersección de la guerra moderna, un mundo turbio de moralidad fluida, donde todo no es como parece."
143458,El gran hipnotizador (2014),Drama | Misterio | Thriller,"El famoso psicólogo Xu Ruining tiene una carrera de crianza, cuando conoció al paciente problemático Ren Xiaoyan. La reunión no es fácil, ya que el débil, REN es un punto por punto en su contra."
143472,En el laberinto grizzly (2015),Acción | Terror | Thriller,Dos hermanos separados se reúnen en su hogar en la infancia en la naturaleza de Alaska. Partieron en una caminata de dos días y están acechados por un oso grizzly implacable.
143511,Humano (2015),Documental,"Una colección de historias sobre e imágenes de nuestro mundo, ofreciendo una inmersión al núcleo de lo que significa ser humano."
143525,El viaje de Chasuke (2015),Comedia | drama,Una historia de amor de fantasía que se desplaza entre este mundo y el cielo. Chasuke (Ken'ichi Matsuyama) está a cargo de hacer té en el cielo. Tiene sentimientos por una mujer humana llamada Yuri (Ito Ohno) ...
143559,L.A. SLASHER (2015),Comedia | crimen | fantasía,"Impulsado a la rabia sobre los excesos de tasas de la televisión de realidad, un cruzado cultural autonombrado secuestra a varios nobodios muy famosos para hacer su punto, pero sus crímenes solo generan más frenesí de tabloide."
143859,¡Alabad al cesar! (2016),Comedia,Un fijador de Hollywood en la década de 1950 trabaja para mantener las estrellas del estudio en línea.
143896,Cómo cambiar el mundo (2015),Documental,"En 1971, un grupo de amigos navegan en una zona de prueba nuclear, y su protesta captura la imaginación del mundo. Usando el archivo nunca antes visto que lleva la vida su mundo extraordinario, ..."
143969,Er ist wieder da (2015),Comedia,"Adolf Hitler se despierta en el siglo XXI. Gana rápidamente la atención de los medios, pero mientras Alemania lo encuentra hilarante y encantador, Hitler hace algunas observaciones serias sobre la sociedad."
144210,Simplemente come: una historia de residuos de alimentos (2014),Documental,"Todos amamos la comida. Como sociedad, devoramos innumerables espectáculos de cocina, revistas culinarias y blogs de foodie. Entonces, ¿cómo podríamos estar lanzando casi el 50% de ella en la basura? Cinematigos y ..."
144222,Bros antes de HOS (2013),Comedia,Dos hermanos tienen su amistad puesta a prueba cuando ambos se enamoran de la misma niña.
144262,Aprendices lentos (2015),Comedia | romance,"Jeff y Anne, dos amigos cercanos y compañeros de trabajo, son vergonzosamente desafortunados en el amor. Eclosionan un plan para transformarse a lo largo de un verano alimentado por sexo y alcohol."
144352,Sin cumplir (2013),Acción | crimen | drama,"El cineasta japonés-coreano, Sang-Il Lee (villano), ha decidido reinterpretar a la victoria de Oscar® de Eastwood, como una película de época japonesa."
144478,"Sexo, drogas y tributación (2013)",Comedia | drama,"Sobre la base de los verdaderos eventos, dos figuras notorias y provocativas de la historia, espías y verdaderos danés modernos, proporcionan una visión radical sobre la libertad a través del dinero, el sexo y las drogas."
144522,Sky High (2003),Acción | Terror | Thriller,"Un detective caza a un asesino que quita los corazones de las chicas. Cuando su propia novicia se convierte en víctima del asesino, el detective descubre las intenciones de otro mundo del asesino y se ayuda de más allá de la tumba por su novio."
144606,Confesiones de una mente peligrosa (2002),Comedia | crimen | drama | romance | thriller,"Una adaptación de la memoria de culto del juego Mostrar Impresario Chuck Barris (Sam Rockwell), en el que pretende haber sido un C.I.A. sicario."
144620,Goosebumps (2015),Aventura | comedia | horror,"Un adolescente se adapta a la hija del autor de horror adulto joven R. L. Stine después de que los demonios imaginarios del escritor se liberen en la ciudad de Madison, Delaware."
144714,El chico perfecto (2015),Drama | Suspenso,"Después de romper con su novio, una mujer profesional se involucra con un hombre que parece casi demasiado bueno para ser verdad."
144716,Rock the Kasbah (2015),Comedia,"Un gerente de música descendente de su suerte descubre a una adolescente con una voz extraordinaria mientras se encuentra en una gira musical en Afganistán y la lleva a Kabul para competir en el popular programa de televisión, la estrella afgana."
144734,Freaks of Nature (2015),Comedia | horror | ciencia ficción,"En la ciudad de Dillford, los humanos, los vampiros y los zombis vivían en paz, hasta que llegó el alienígena Apocalipsis. Ahora, tres adolescentes, un humano, un vampiro, y un zombi, tienen que asociarse a descubrir cómo deshacerse de los visitantes."
144976,Bone Tomahawk (2015),Horror | occidental,"En los días de muerte del Oeste Oeste, un anciano sheriff y su Posse se dispusieron a rescatar al médico de su ciudad de los habitantes de la cueva caníbal."
145080,Tales extraordinarios (2015),Animación | Horror | Misterio,Una animada antología de cinco cuentos adaptados de las historias de Edgar Allan Poe.
145150,El modista (2015),Comedia | drama | thriller,"Una mujer glamorosa regresa a su pequeña ciudad en Rural Australia. Con su máquina de coser y su estilo de alta costura, ella transforma a las mujeres y exige la dulce venganza de aquellos que estaban mal."
145283,Nowitzki: El disparo perfecto (2014),Documental,"Un documental que sigue la carrera temprana de la estrella de baloncesto Dirk Nowitzki, su relación con el entrenador y el mentor Holger Geschwindner, y su camino a la gloria de la NBA."
145418,Trumbo (2015),Drama,"En 1947, Dalton Trumbo fue el mejor guionista de Hollywood, hasta que él y otros artistas fueron encarcelados y enlistados por sus creencias políticas."
145491,Nuestros labios están sellados (2000),Niños | Comedia | Drama,"Una familia es reubicada por el FBI después de que las hermanas gemelas detienen a un ladrón de diamantes con ketchup. Son Blabbermouths, por lo que, como la última oportunidad, terminan en Sydney, Australia. 2 Mobsters se envían allí para ellos y para los diamantes ocultos."
145724,Transferencia de Idaho (1973),Ciencia ficción,"Durante un tiempo de reducción de los recursos globales, una tripulación de jóvenes investigadores viaja al futuro para escapar de un apocalipsis antes del cierre de su proyecto de transferencia de tiempo. Encuentran que algunos ..."
145745,Caza de brujas (1999),Crimen | drama,"En el estado australiano de Victoria, el joven Hannah desaparece. La policía investiga, cavando en el pasado desagradable de la familia. La madre, Linda Thomas, estaba completamente dominada por el ..."
145839,Concusión (2015),Drama,"En Pittsburgh, el patólogo realizado, el Dr. Bennet Omalu descubre la verdad sobre el daño cerebral en los jugadores de fútbol que sufren repetidas cerebrales en el curso del juego normal."
145935,"Película de cacahuetes, The (2015)",Aventura | Animación | Niños | Comedia,"Snoopy se embarca en su misión más grande, ya que él y su equipo llevan a los cielos para perseguir su arquemésis, mientras que su mejor Pal Charlie Brown comienza su propia búsqueda épica en casa para ganar el amor de su vida."
145951,Bloodsport: The Dark Kumite (1999),Acción | Thriller,"Cuando los expertos en artes marciales, y la policía, John Keller, se infiltran a la Fila de la Muerte para descubrir la verdad detrás de la ejecución de varios reclusos, se une a las filas de prisioneros obligados a luchar en batallas organizadas por placer por un guardia sadicista."
145994,Fórmula del amor (1984),Comedia,"Un joven aristócrata, Aleksei Federyashev, languidece en la finca de su familia, pasando sus días leyendo la poesía y confiesa su amor ... a una estatua. Al escuchar ese famoso cuenta ..."
146024,Un hombre de Boulevard des Capucines (1987),Comedia | romance | occidental,El Sr. Jonny primero llega al salvaje oeste para presentar el arte del cinematógrafo.
146028,Las aventuras de Sherlock Holmes y el Dr. Watson: El sabueso de los Baskervilles (1981),Crimen | misterio,"Cuando Sir Charles Baskerville se encuentra muerta en su casa de campo, el Dr. James Mortimer le pide ayuda a Sherlock Holmes para salvar a Sir Henry Baskerville, el único heredero conocido, desde la maldición que cuida a la familia Baskerville."
146210,Estado de montaña azul: el auge de Thadland (2015),Comedia,"Cuando el Decano del Estado de Mountain Blue amenaza con vender la casa de cabra, Alex lanza a Thad la fiesta de sus sueños en un esfuerzo por que lo compre."
146244,Dil a Pagal Hai (1997),Comedia | drama | romance,"Un gran musical sobre tres personajes apasionados y de ensueño: Rahul, Pooja y Nisha. ¿Se harán realidad sus sueños? ¿Encontrarán su verdadero amor?"
146309,El niño y la bestia (2015),Acción | Aventura | Animación,"Cuando un niño huérfano joven que vive en las calles de Shibuya se tropieza con un mundo fantástico de bestias, ha tomado una bestia guerrera de gruff en busca de un aprendiz."
146656,Creed (2015),Drama,"El ex campeón mundial de peso pesado Rocky Balboa sirve como entrenador y mentor a Adonis Johnson, hijo de su difunto amigo y ex rival de Apolo Credo."
146662,Dragones: Regalo de la Furia Nocturna (2011),Aventura | Animación | Comedia,"A medida que el pueblo de Berk se prepara para sus vacaciones de invierno, los dragones residentes todos vuelan inexplicablemente."
146682,Twinsters (2015),Documental,"Adoptados de Corea del Sur, criados en diferentes continentes y conectados a través de las redes sociales, Samantha & AnaÃ¯s creen que son hermanas gemelas separadas al nacer."
146684,Cosmic Scrat-Tasrobee (2015),Animación | Niños | Comedia,"Debido a su amor eterno por las bellotas, Scrat hace un descubrimiento asombroso que lo envía profundamente en el espacio negro e interminable"
146688,Solace (2015),Fantasía | Misterio | Thriller,Psychic John Clancy (Sir Anthony Hopkins) trabaja con el F.B.I. Para cazar a un asesino en serie.
146730,Perdido en el sol (2015),Acción | drama | thriller,Un pequeño ladrón de tiempo y un equipo de adolescentes recién huérfanos para realizar una serie de robos.
146986,Le ma®tre d'Ã © cole (1981),Comedia,"Después de haber perdido su trabajo por haber salvado a un niño acusado de levantamiento de tiendas, FRÃ © Déric Barbier decide convertirse en un maestro de escuela con algunos resultados divertidos. El gran actor de comedia Coluche es excelente como un maestro de escuela simple."
147002,Eros (2004),Drama | Romance,"Tres cortometrajes, uno de los directores Michelangelo Antonioni, Steven Soderbergh y Wong Kar Wai, abordan los temas de amor y sexo."
147142,Esos días felices (2006),Niños | Comedia,"Una representación genuina y con frecuencia divertida de las relaciones entre monitores y niños en un campamento de vacaciones de verano. Desde el romance hasta la amistad, bailando hasta la lucha, esta película francesa trae buenos recuerdos de la infancia."
147196,Las chicas (1961),Comedia | romance,"Varias historias románticas, parcialmente divertidas, parcialmente, establecidas en un campamento de registro remoto."
147250,Las aventuras de Sherlock Holmes y el doctor Watson,(sin géneros enumerados),"Después de alterar al criminal subterráneo en el caso de 'The Master Blackmailer', Sherlock Holmes tiene que enfrentar su archienemigo: Prof. Moriarty."
147282,De lo que los hombres todavía hablan (2011),Comedia,"Cuatro amigos se ven obligados a quedarse en una estación de radio en la víspera de Año Nuevo después de que uno de ellos se mete en problemas. Usan la oportunidad de recordar el pasado, hablar de mujeres, música y decisiones que habían hecho a lo largo de sus vidas."
147286,Las aventuras de Sherlock Holmes y Doctor Watson: Los tesoros de Agra (1983),Crimen | misterio,"Holmes y el Dr. Watson ayudan a una joven que está recibiendo cartas anónimas 10 años después de que su padre falleció bajo circunstancias sombreadas. Se encuentran en un enigma que involucra un tesoro, un asesinato y un interés amoroso por Watson."
147300,Aventuras de Sherlock Holmes y Dr. Watson: Enfoques del siglo XX (1986),Crimen | misterio,"Retirado Sherlock Holmes y practicando el Dr. Watson, vuelve para resolver un rompecabezas a principios del siglo XX."
147326,Las aventuras de Sherlock Holmes y el doctor Watson: King of Blackmailers (1980),Crimen | misterio,Mycroft Holmes Manos Sherlock Holmes El caso del Master Blackmailer.
147328,Las aventuras de Sherlock Holmes y el Dr. Watson: Signature sangrienta (1979),Crimen,"Cuando un asesinato ocurre con una inscripción sangrienta y un anillo dejado atrás, los detectives de Scotland Scotland Scotland van a Sherlock Holmes para obtener ayuda."
147330,Sherlock Holmes y Dr. Watson: conocido (1979),Crimen,El doctor Watson se mueve con los excéntricos Sherlock Holmes y obtienen un caso para resolver. Una heredera joven busca la ayuda de Holmes cuando se siente amenazada por su brutado padrastro después de que su hermana muere bajo circunstancias misteriosas.
147372,Doctor Who: la última navidad (2014),Aventura | drama | fantasía | ciencia ficción,"El doctor y Clara se enfrentan a su última navidad. Atrapado en una base ártica, bajo ataque de criaturas aterradoras, ¿a quién vas a llamar? ¡Papá Noel!"
147374,"Médico que: el doctor, la viuda y el vestuario (2011)",Aventura | drama,"Es la víspera de Navidad, de 1938, cuando Madge Arwell llega a la ayuda de un Ángel de Spaceman lesionado mientras se cierra a casa. Él promete pagar su amabilidad, todo lo que tiene que hacer es hacer un deseo. Tres ..."
147376,Doctor Who: A Christmas Carol (2010),Ciencia ficción,"En la víspera de Navidad, el médico viaja en el pasado de un anciano amargo que tiene el poder de salvar a Amy y Rory, pero no quiere salvarlos, de modo que no crezca para ser malo y amargo."
147378,Doctor Who: Planet of the Dead (2009),Aventura | Niños | Drama | Ciencia ficción,"Una reunión en un autobús de Londres con Jewel Thief Lady Christina da un turno para lo peor para el médico cuando el autobús se desvía a un planeta como el desierto, donde espera el enjambre mortal."
147380,Médico que: el próximo doctor (2008),Aventura | Niños | Drama | Ciencia ficción,"El médico llega a Londres en la víspera de Navidad en 1851, donde se encuentra con los cibermanos y un hombre que afirma que es un tiempo de tiempo llamado al médico."
147382,Doctor Who: Viaje de los malditos (2007),Acción | ciencia ficción,"Una nave espacial con un curso de colisión apocalíptico con la Tierra, una gran cantidad de ángeles de robot asesino y un maldito Mastermind, es solo otra Navidad para el doctor ... 2007 Navidad Special Guest protagonizada por Kylie Minogue."
147384,Doctor Who: The Runaway Bride (2007),Ciencia ficción,"El médico está desconcertado cuando una joven es transportada a la TARDIS en el día de su boda, e intenta descubrir cómo está conectada a una parcela alienígena para destruir la Tierra."
147410,Un día perfecto (2015),Comedia | drama,Un grupo de trabajadores de ayuda trabajan para resolver una crisis en una zona de conflictos armados.
147657,Avengers enmascarados (1981),Acción,"Philip Kwok (Venom de Lagarto) juega a un asesino arrepentido que contrata a destruir la pandilla enmascarada de la que era miembro. Un joven luchador y sus hermanos de artes marciales (incluido Chiang Sheng, veneno ..."
147662,Devolución del espadachín de un solo brazo (1969),Acción | aventura,"Después de derrotar al Diablo Armado Largo y sus ejércitos, nuestro héroe desagradable ha estado viviendo en la jubilación como un agricultor, pero las circunstancias lo hacen salir de la jubilación y tomar el ocho ..."
148166,Hitchcock / Truffaut (2015),Documental,"Los cineastas discuten cómo el libro de 1966 del libro de Francois Truffaut ""Cine según Hitchcock"" influyó en su trabajo."
148172,La quinta ola (2016),Aventura | Ciencia ficción | Thriller,"Cuatro olas de ataques extraños cada vez más mortales han dejado la mayor parte de la tierra en la ruina. Cassie está en la carrera, tratando desesperadamente de salvar a su hermano menor."
148238,Una navidad muy Murray (2015),Comedia,Bill Murray no se presenta a nadie que aparecerá a su programa de televisión debido a una terrible tormenta de nieve en la ciudad de Nueva York.
148424,Chi-raq (2015),Comedia | drama,"Una moderna adaptación del día de la antigua juego griega Lysistrata de Aristófanes, en el contexto de la violencia de pandillas en Chicago, Illinois."
148482,Verdad (2015),Drama,"Drama de la sala de noticias Detallando el informe de 2004 CBS 60 minutos que investiga el entonces presidente George W. Bush's Military's Service, y la tormenta de crítica posterior de la crítica que cuesta el anclaje Dan en lugar y el productor Mary se ocupa de sus carreras."
148592,Just Jim (2015),Comedia,Un adolescente galés se convertirá en el chico fresco de la ciudad si se hace un trato con su nuevo vecino estadounidense.
148626,"Gran corto, el (2015)",Drama,"En 2006-2007, un grupo de inversionistas apuesta contra el mercado hipotecario de los Estados Unidos. En su investigación, descubren cuán defectuoso y corrupto es el mercado."
148632,Applesauce (2015),Comedia,"Dos parejas casadas se agitan cada vez más entre sí, ya que descubren cosas sobre el pasado del otro, mientras que uno de ellos está recibiendo paquetes perturbadores de una fuente desconocida."
148652,Los ridículos 6 (2015),Comedia | occidental,"Un proscrito que fue criado por los nativos americanos descubre que tiene cinco semejantes. Juntos, los hombres siguen una misión para encontrar su padre Wayward, Deadbeat."
148667,John Mulaney: el niño de regreso (2015),Comedia,"Armado con encanto infantil y un ingenio afilado, el ex escritor SNL ofrece astuto asaltado en matrimonio, su carne con bebés y el tiempo que conoció a Bill Clinton."
148671,Sierra (2003),Crimen | horror,"David, un ordenado en un hospital, cuenta su horrible historia de ser secuestrado y obligado a jugar un juego vil de supervivencia."
148675,Polo Norte: Abierto para Navidad (2015),Niños | Fantasía,"Cuando Mackenzie hereda la posada de una vez majestuosa de su tía, decide venderla. Pero arreglar el lugar de resumen es más desafiante de lo que había anticipado. Luego, la magia de la Navidad interviene, con una ayuda inesperada de los elfos de Santa."
148709,Mojave (2015),Novela de suspenso,"Un artista suicida entra en el desierto, donde encuentra su doppelgänger, un drificador homicida."
148775,Wizards of Waverly Place: The Movie (2009),Aventura | Niños | Comedia | Drama | Fantasía | Ciencia ficción,Un joven asistente evoca un hechizo que pone a su familia en peligro.
148881,Mundo de mañana (2015),Animación | Comedia,Una niña es tomada en un recorrido por la mente-doblado por su futuro lejano.
148888,Zoolander 2 (2016),Comedia,"Derek y Hansel se enganchan nuevamente en Modeling, en Roma, donde se encuentran el objetivo de una conspiración siniestra."
148956,Cómo estar soltero (2016),Comedia | romance,Un grupo de adultos jóvenes navega amor y relaciones en la ciudad de Nueva York.
148978,Exorcista azul: la película (2012),Animación | Fantasía | Horror | Misterio,"Rin y sus amigos, junto con el resto de la verdadera ciudad de la Academia Cross, están en medio de la preparación para un festival que se celebra solo una vez cada 11 años. Mientras que las barreras protegen ..."
148982,Diablo: el perro del infierno (1978),Horror,Un perro que es un Minión de Satanás aterroriza a una familia suburbana.
149011,Nunca murió (2015),Comedia | drama | horror,"Jack, un marginado social, se empuja fuera de su zona de confort cuando el mundo exterior golpea en su puerta y no puede contener su pasado violento."
149144,Parasyte: Parte 1 (2014),Horror | ciencia ficción,"La humanidad está sufriendo de asesinatos en todo el mundo, llamados ""asesinatos de carne picada"". Estudiante de la escuela secundaria, Izumi Shinichi tiene un parásito que lo ha vuelto, habiendo reemplazado su mano derecha, y podría ser el descubridor de la verdad."
149146,Parasyte: Parte 2 (2015),Horror | ciencia ficción,"La humanidad está bajo ataque por los parásitos alienígenas que come la carne humana. Un parásito se une con su joven anfitrión de la escuela secundaria, y convence al parásito para ayudarlo a detener a los demás."
149330,Una navidad cósmica (1977),(sin géneros enumerados),Tres alienígenas vienen a la Tierra para descubrir el verdadero significado de la Navidad.
149334,Animales nocturnos,Drama | Suspenso,"Un rico propietario de la galería de arte está encantado por la novela de su ex esposo, un violento thriller, ella interpreta como un cuento de venganza simbólico."
149350,Hombre de leñador (2015),Comedia | horror,"Como el personal de los buenos amigos, el campamento de la iglesia se prepara para una escapada de primavera llena de ""diversión bajo el hijo"", un registrador de demonios se eleva de su caldera de savia para causar su venganza y su fiesta en flapjacks empapados en la sangre de sus víctimas."
149352,La casa de papá (2015),Comedia,"Brad Whitaker es un anfitrión de radio tratando de que sus hijastros lo amen y lo llamen papá. Pero sus planes se vuelven al revés cuando su padre biológico, Dusty Mayron, regresa."
149354,Hermanas (2015),Niños | Comedia,Dos hermanas deciden lanzar una última fiesta de la casa antes de que sus padres venden a su familia.
149380,Es la temporada para el amor (2015),Romance,"Una pequeña niña que se mudó a Nueva York para perseguir sus sueños regresa a casa por las vacaciones, solo para darse cuenta de que tal vez sus sueños no están a kilómetros de distancia, sino justo en su ciudad natal."
149406,Kung Fu Panda 3 (2016),Acción | Aventura | Animación,"Continuando con sus ""aventuras legendarias de asombro"", PO debe enfrentar dos amenazas enormemente épicas, pero diferentes: una sobrenatural y la otra un poco más cercana a la casa."
